Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
Diani and Devine Meet the Apocalypse,Comedy,6.3,N/A,1h 30min,Etta Devine,2016
The Innocents,"Drama, History, Made in Europe",7.3,PG-13,1h 55min,Anne Fontaine,2016
The Babymoon,"Comedy, Drama, Action & Adventure, Romance",4.0,R,1h 39min,Bailey Kobe,2017
Lovesick,"Romance, Drama",4.9,N/A,1h 33min,Tyson Caron,2016
Bomb City,"Drama, Crime",6.8,R,1h 35min,Jameson Brooks,2017
Beat,"Mystery & Thriller, Drama",8.2,N/A,1h 41min,Jye Currie,2022
Global Meltdown,"Science-Fiction, Drama, Mystery & Thriller, Action & Adventure",3.2,N/A,2h 0min,Daniel Gilboy,2017
Baked in Brooklyn,"Comedy, Drama, Crime, Romance",5.4,N/A,1h 26min,Rory Rooney,2016
Tesla (American Experience),"History, Documentary, Mystery & Thriller",N/A,N/A,1h 0min,David Grubin,2016
Walking on Sunshine,"Comedy, Drama, Romance",5.4,PG-13,1h 37min,Max Giwa,2014
The Girl Who Believes in Miracles,"Drama, Kids & Family",5.5,PG,1h 40min,Rich Correll,2021
The Discoverers,Comedy,5.6,N/A,1h 44min,Justin Schwarz,2014
Daddy,"Drama, Action & Adventure, Crime",6.4,N/A,2h 14min,Ashim Ahluwalia,2017
Nice Package,"Comedy, Crime",5.0,N/A,1h 35min,Dan MacArthur,2016
"I, Pastafari: A Flying Spaghetti Monster Story",Documentary,6.9,N/A,57min,Mike Arthur,2019
LAW,"Drama, Mystery & Thriller",N/A,N/A,2h 0min,Raghu Samarth,2020
The Frame,"Drama, Romance, Mystery & Thriller, Crime, Fantasy",6.6,N/A,2h 7min,Jamin Winans,2014
Beyond the Mask,"Action & Adventure, Drama, Romance",5.1,PG,1h 45min,Chad Burns,2015
Ishq Brandy,"Romance, Comedy",5.3,N/A,2h 4min,Amit Prasher,2014
Pasture,Horror,3.6,N/A,1h 40min,Sean Hardaway,2020
A Guide to Second Date Sex,"Romance, Comedy",5.5,N/A,1h 21min,Rachel Hirons,2019
2eleven,Action & Adventure,5.6,R,1h 45min,Derek Scott,2015
Pada,"Drama, Crime, Mystery & Thriller",7.8,N/A,2h 5min,Kamal K.M.,2022
Bad Blood,"Mystery & Thriller, Drama, Action & Adventure",4.7,N/A,1h 25min,Adam Silver,2015
6-Headed Shark Attack,"Science-Fiction, Horror, Action & Adventure, Mystery & Thriller, Comedy",2.8,N/A,1h 29min,Mark Atkins,2018
West of Her,"Drama, Romance",5.5,N/A,1h 30min,Ethan Warren,2016
Dying Laughing,"Documentary, Comedy, Drama",6.8,N/A,1h 29min,Lloyd Stanton,2017
"Wrong Place, Wrong Time","Action & Adventure, Horror, Mystery & Thriller, Crime",3.0,N/A,1h 25min,Tristan Price,2021
Honest Thief,"Action & Adventure, Mystery & Thriller, Drama, Crime",6.0,PG-13,1h 39min,Mark Williams,2020
Donna: Stronger Than Pretty,Drama,6.0,N/A,1h 50min,N/A,2020
Prisoner X,"Mystery & Thriller, Science-Fiction",5.1,N/A,1h 30min,Gaurav Seth,2016
Lovesick,"Comedy, Romance",5.2,N/A,1h 40min,Luke Matheny,2014
Already Gone,Drama,4.1,N/A,1h 32min,Ziyi Zeng,2019
De Gaulle,"Drama, History, War & Military, Made in Europe",6.1,N/A,1h 48min,Gabriel Le Bomin,2020
Because We Are,"Drama, Mystery & Thriller",N/A,N/A,1h 13min,Saint Chris,2020
Tyfelstei: An Alpine Horror Tale,"Mystery & Thriller, Horror, Made in Europe",4.0,N/A,1h 48min,Chris Bucher,2014
Rumble,"Animation, Comedy, Kids & Family, Fantasy, Sport, Drama, Romance",5.9,PG,1h 35min,N/A,2021
Apex Predators,Horror,N/A,N/A,1h 15min,Dustin Ferguson,2021
Angel of the Skies,"War & Military, Mystery & Thriller, Crime, Drama",4.0,PG-13,1h 42min,Christopher-Lee dos Santos,2013
Love Is Blind,"Comedy, Drama, Romance",6.1,N/A,1h 29min,N/A,2019
The Score,"Drama, Mystery & Thriller, Crime, Music & Musical, Romance",5.1,N/A,1h 41min,Malachi Smyth,2022
Valentine Road,"Documentary, Crime",7.0,N/A,1h 29min,Marta Cunningham,2013
Somnus,"Mystery & Thriller, Science-Fiction",2.9,N/A,1h 23min,Chris Reading,2016
Narappa,"Drama, Action & Adventure, Crime, History, Music & Musical",7.8,N/A,2h 33min,Srikanth Addala,2021
Becoming Burlesque,Drama,3.9,N/A,1h 36min,Jackie English,2019
In Action,"Action & Adventure, Comedy",N/A,N/A,1h 19min,Eric Silvera,2020
My Best Friend,"Drama, Romance",6.7,N/A,1h 31min,Martín Deus,2018
Christmas in the Heartland,"Kids & Family, Drama, Comedy",5.8,N/A,1h 30min,Harvey Lowry,2017
Remember Pearl Harbor,"Documentary, History, War & Military",8.4,N/A,1h 21min,N/A,2016
Killbird,Mystery & Thriller,N/A,N/A,1h 24min,Joe Zanetti,2019
The Division: Agent Origins,"Action & Adventure, Mystery & Thriller",N/A,N/A,31min,Devin Graham,2016
Six Three Times,Drama,5.3,N/A,50min,N/A,2021
#SquadGoals,"Drama, Mystery & Thriller",4.3,N/A,1h 30min,Danny J. Boyle,2018
1 Night in San Diego,Comedy,3.5,N/A,1h 25min,N/A,2020
Backstreet Boys: Show 'Em What You're Made Of,"Documentary, Music & Musical",7.5,N/A,1h 41min,Stephen Kijak,2015
Hawk and Rev: Vampire Slayers,"Horror, Comedy",4.1,N/A,1h 25min,Ryan Barton-Grimley,2021
Black Pumpkin,Horror,4.3,N/A,1h 31min,Ryan McGonagle,2020
Troop Zero,"Drama, Comedy, Kids & Family",6.9,PG,1h 37min,Bert,2019
Agent F.O.X.,"Animation, Comedy, Kids & Family, Fantasy",3.1,G,1h 23min,Ge Shuiying,2015
Sharknado 3: Oh Hell No!,"Comedy, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",4.0,N/A,1h 28min,Anthony C. Ferrante,2015
The Pagan King,"Action & Adventure, Drama, History, War & Military, Made in Europe",6.0,R,1h 50min,Aigars Grauba,2018
Abattoir,"Mystery & Thriller, Horror",4.5,R,1h 38min,Darren Lynn Bousman,2016
Girls' Night In,"Comedy, Drama",3.0,N/A,1h 31min,Emmett Loverde,2021
Palava!,"Comedy, Drama",5.7,N/A,1h 47min,Niyi Akinmolayan,2022
Temple,"Horror, Drama",3.7,N/A,1h 18min,Michael Barrett,2017
Last Love Lost,Drama,7.3,N/A,1h 23min,Jahmar Hill,2015
Every Single Someone,"Crime, Horror, Mystery & Thriller, Drama",6.2,N/A,1h 26min,Samuel Marko,2021
Marriage of Lies,"Mystery & Thriller, Drama, Documentary",5.0,N/A,1h 23min,Danny J. Boyle,2016
Creature Designers: The Frankenstein Complex,"Documentary, Made in Europe",7.4,N/A,1h 44min,Gilles Penso,2015
Tickling Giants,Documentary,8.2,N/A,1h 51min,Sara Taksler,2017
The Queen's Corgi,"Animation, Comedy, Kids & Family, Made in Europe",4.8,PG,1h 25min,Ben Stassen,2019
Ripped,Comedy,4.7,N/A,1h 37min,Brad Epstein,2017
Easy Does It,Action & Adventure,N/A,R,1h 35min,Will Addison,2020
Hostage,"Mystery & Thriller, Horror, Action & Adventure, Crime, Drama",3.9,N/A,1h 22min,Eddie Augustin,2021
A Sort of Homecoming,Drama,5.7,N/A,1h 28min,Maria Burton,2015
RBG,Documentary,7.6,PG,1h 37min,Julie Cohen,2018
Girls Can't Surf,Documentary,7.6,N/A,1h 48min,Christopher Nelius,2022
We Have Always Lived in the Castle,"Mystery & Thriller, Horror, Drama",5.6,N/A,1h 36min,Stacie Passon,2019
Shangri-La Suite,"Crime, Drama, Romance, Action & Adventure",5.1,N/A,1h 30min,Eddie O'Keefe,2016
Uncle Tom,"Documentary, History",N/A,N/A,1h 46min,N/A,2020
Photograph,"Drama, Romance, Made in Europe",6.8,PG-13,1h 51min,Ritesh Batra,2019
Aaron's Blood,"Mystery & Thriller, Drama, Horror",4.8,N/A,1h 20min,Tommy Stovall,2017
Little Lies,"Mystery & Thriller, Comedy",4.7,N/A,1h 32min,Sebastián Schindel,2022
Don't Let Them In,Horror,4.6,N/A,1h 21min,Mike Dunkin,2020
Max Reload and the Nether Blasters,"Science-Fiction, Comedy",4.9,PG-13,1h 41min,Jeremy Tremp,2020
Joe Bell,Drama,6.2,R,1h 34min,Reinaldo Marcus Green,2021
Vinaya Vidheya Rama,"Drama, Action & Adventure",3.3,N/A,2h 26min,Boyapati Srinu,2019
Arctic Dogs,"Comedy, Kids & Family, Animation",4.8,PG,1h 28min,Dimos Vrysellas,2019
Fisher,"Mystery & Thriller, Crime, Horror, Drama",3.5,N/A,2h 5min,Cassandra Bryson,2021
3 Hours till Dead,Horror,4.0,N/A,1h 20min,Jason Mills,2017
French Biriyani,Comedy,5.7,N/A,1h 56min,N/A,2020
Manipulated,"Crime, Drama",3.8,N/A,1h 32min,N/A,2021
COVID-21: Lethal Virus,"Mystery & Thriller, Horror, Action & Adventure, Drama, Science-Fiction",1.7,N/A,1h 27min,Daniel H. Torrado,2021
Sita Ramam,"Drama, Romance, Action & Adventure",8.6,N/A,2h 38min,Hanu Raghavapudi,2022
Buster's Mal Heart,"Drama, Mystery & Thriller, Crime",6.2,N/A,1h 36min,Sarah Adina Smith,2017
Smiley Face Killers,"Mystery & Thriller, Horror",3.7,R,1h 37min,Tim Hunter,2020
Ivan the Terrible,"Documentary, Drama, History",5.9,N/A,52min,Peter Moers,2014
Boonie Bears: The Big Top Secret,"Animation, Kids & Family, Comedy",4.8,N/A,1h 39min,Liang Ding,2016
Behind Closed Doors,Drama,N/A,N/A,1h 45min,Jarrell Crump,2013
"The Mystery of Agatha Christie, With David Suchet",Documentary,N/A,N/A,57min,Clare Lewins,2013
Peterloo,"History, Drama",6.5,PG-13,2h 34min,Mike Leigh,2018
Bear with Us,Comedy,6.5,N/A,1h 34min,William J. Stribling,2016
Anguish,"Horror, Drama",4.5,N/A,1h 31min,Sonny Mallhi,2015
Devil's Whisper,"Horror, Mystery & Thriller",4.2,N/A,1h 25min,Adam Ripp,2017
Mahaan,"Drama, Action & Adventure, Mystery & Thriller",7.6,N/A,2h 43min,Karthik Subbaraj,2022
Extraordinary: The Seeding,Documentary,5.4,N/A,1h 45min,Jon Sumple,2019
The Second,"Drama, Mystery & Thriller",5.0,PG-13,1h 34min,Mairi Cameron,2018
Kitty Mammas,Comedy,N/A,N/A,1h 33min,Dennis Alexander Nicholson,2020
The Kaos Brief,"Horror, Science-Fiction",4.5,N/A,1h 20min,JP Mandarino,2017
Death of a Child,"Documentary, Made in Europe",6.4,PG-13,1h 20min,Frida Barkfors,2017
Women & Sometimes Men,"Romance, Drama",4.4,N/A,1h 27min,Lesley Demetriades,2017
Closed Season,"Drama, Made in Europe",6.9,N/A,1h 40min,Franziska Schlotterer,2013
The Midwife,Horror,3.9,R,1h 20min,Ryan Cage,2021
Thorp,"Romance, Science-Fiction, Mystery & Thriller, Comedy, Drama",4.9,N/A,1h 43min,Dennis Donovan,2020
Magnum Opus,"Mystery & Thriller, Drama",5.4,N/A,1h 23min,Kevin Elliott,2017
The Accidental Spy,"Action & Adventure, Comedy",4.6,N/A,1h 44min,Roger Russell,2017
Crypto Legacy,"Action & Adventure, Horror, Mystery & Thriller",2.5,N/A,1h 11min,Charles Townsend,2020
Mike Case in: The Big Kiss Off,Comedy,5.0,N/A,1h 16min,N/A,2013
Woodwind,"Drama, Music & Musical",7.7,N/A,2h 16min,Fin Manjoo,2017
Getting Go: The Go Doc Project,"Drama, Romance",6.9,N/A,1h 31min,Cory Krueckeberg,2013
My Month with Mrs Potter,"Crime, Drama",6.3,N/A,1h 28min,N/A,2018
Coming Home for Christmas,Kids & Family,5.7,N/A,1h 27min,Vanessa Parise,2014
Once Upon a Time in London,"Crime, History",5.2,N/A,1h 51min,Simon Rumley,2019
Shubh Mangal Zyada Saavdhan,"Comedy, Romance, Crime",5.8,N/A,2h 0min,Hitesh Kewalya,2020
The Stepsister,"Drama, Mystery & Thriller",5.4,N/A,1h 29min,Kohl Glass,2016
Finding You,"Drama, Romance",6.4,PG,1h 59min,Brian Baugh,2021
The Sleepless Unrest,"Mystery & Thriller, Horror, Reality TV, Documentary",3.8,N/A,1h 21min,Kendall Whelpton,2021
The Bray Road Beast,Documentary,5.4,N/A,1h 10min,Seth Breedlove,2018
Force of Nature,"Mystery & Thriller, Action & Adventure, Crime, Drama",4.6,R,1h 31min,Michael Polish,2020
Awful Nice,Comedy,4.8,R,1h 32min,Todd Sklar,2013
Chicken People,"Documentary, Kids & Family, Comedy",7.0,N/A,1h 23min,Nicole Lucas Haimes,2016
Souvenir,Drama,6.0,N/A,1h 53min,N/A,2021
Our Friend,"Drama, Romance",7.3,R,2h 4min,Gabriela Cowperthwaite,2021
The Parts You Lose,"Crime, Mystery & Thriller, Drama, Action & Adventure",5.8,N/A,1h 34min,Christopher Cantwell,2019
Jolt,"Mystery & Thriller, Action & Adventure, Comedy, Crime",5.6,R,1h 31min,Tanya Wexler,2021
Some of Our Stallions,"Comedy, Drama",4.8,N/A,1h 29min,Carson D. Mell,2021
Baby Steps,"Drama, Kids & Family, Romance, Comedy",5.8,N/A,1h 43min,Joyeeta Chatterjee,2015
Addicted to Fresno,"Comedy, Crime, Drama",5.4,N/A,1h 25min,Jamie Babbit,2015
A Girl Like Her,Drama,7.0,PG-13,1h 31min,Amy S. Weber,2015
The German Doctor,"Drama, Mystery & Thriller, History, Made in Europe",6.7,PG-13,1h 30min,Lucía Puenzo,2013
Big House,"Comedy, Drama",5.2,N/A,1h 24min,Jack Lawrence Mayer,2020
Saved for a Reason,"Documentary, Sport, Drama",6.6,N/A,1h 0min,Tim Kressin,2016
Corbin Nash,"Action & Adventure, Horror, Mystery & Thriller",4.3,N/A,1h 35min,N/A,2018
The Assault,"Mystery & Thriller, Action & Adventure, Made in Europe",3.6,R,1h 12min,Jacob Cooney,2017
The Perfect Host: A Southern Gothic Tale,"Mystery & Thriller, Drama, Horror",3.9,N/A,1h 35min,Derrick Sims,2018
10 Year Reunion,Mystery & Thriller,4.5,N/A,1h 23min,Jake Helgren,2016
Broil,"Mystery & Thriller, Horror",N/A,N/A,1h 39min,Edward Drake,2020
Burial Ground Massacre,Horror,3.0,N/A,1h 40min,Daniel Dahlstrom,2021
The Tender Bar,Drama,6.7,R,1h 46min,George Clooney,2021
The Testament,"Drama, Made in Europe",7.1,N/A,1h 28min,Amichai Greenberg,2017
Chasing Molly,"Comedy, Crime",4.2,N/A,1h 20min,N/A,2019
Go Don't Go,"Drama, Mystery & Thriller, Science-Fiction",3.5,N/A,1h 35min,Alex Knapp,2021
Galwakdi,"Drama, Comedy, Romance",6.1,N/A,2h 10min,Sharan Art,2022
Bridge and Tunnel,"Comedy, Drama, Romance",7.3,N/A,1h 35min,Jason Michael Brescia,2014
Hey Jude,"Drama, Romance",6.8,N/A,2h 26min,Shyamaprasad,2018
The Girl Who Killed Her Parents,"Crime, Drama, Mystery & Thriller",5.9,N/A,1h 25min,Maurício Eça,2021
The Curse of Robert the Doll,Horror,3.1,N/A,1h 19min,Brian Knappmiller,2016
There Is Many Like Us,"War & Military, Documentary, Drama, History",8.1,PG-13,1h 25min,Josh Webber,2015
C.O.G.,"Comedy, Drama, Crime, Mystery & Thriller",5.5,R,1h 32min,Kyle Patrick Alvarez,2013
Bad Johnson,"Comedy, Fantasy, Romance",4.5,N/A,1h 28min,Huck Botko,2014
Hard Night Falling,"Drama, Mystery & Thriller, Action & Adventure, Crime",3.4,R,1h 25min,Giorgio Bruno,2020
Simulation,"Drama, Mystery & Thriller",6.6,N/A,1h 24min,Hashem Al-Ghaili,2017
10.0 Earthquake,"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller",3.5,N/A,1h 28min,David Gidali,2014
Pure Japanese,"Action & Adventure, Drama",6.0,N/A,1h 28min,Daishi Matsunaga,2022
Starfish,Drama,6.6,N/A,1h 35min,Bill Clark,2016
Honeydew,"Horror, Mystery & Thriller",4.4,R,1h 46min,Devereux Milburn,2021
The Unborn,Horror,N/A,N/A,1h 10min,N/A,2020
Labor Day,"Drama, Romance, Mystery & Thriller",6.9,PG-13,1h 51min,Jason Reitman,2013
TransMilitary,Documentary,6.2,N/A,1h 33min,Gabriel Silverman,2018
Tom Clancy's Without Remorse,"Action & Adventure, Mystery & Thriller, War & Military, Crime, Drama",5.8,R,1h 49min,Stefano Sollima,2021
Whose Streets?,Documentary,5.5,R,1h 30min,Sabaah Folayan,2017
Straight Edge Kegger,"Horror, Mystery & Thriller",4.5,N/A,1h 19min,Jason Zink,2022
Don't Make Me Go,Drama,6.7,R,1h 49min,Hannah Marks,2022
Saved by Grace,"Drama, Comedy",5.7,PG,1h 25min,Johnny Remo,2016
Urvi,"Drama, Mystery & Thriller, Crime",6.8,N/A,2h 33min,B S Pradeep Varma,2017
Bravetown,"Drama, Music & Musical",6.2,R,1h 52min,Daniel Duran,2015
Sx_Tape,Horror,3.4,R,1h 25min,Bernard Rose,2013
Breakneck,Documentary,N/A,N/A,1h 42min,N/A,2019
There's Always Woodstock,"Comedy, Music & Musical, Romance",5.2,N/A,1h 30min,Rita Merson,2014
Never Let Go,"Mystery & Thriller, Drama, Action & Adventure",5.3,R,1h 33min,Howard J. Ford,2015
Sophie and the Rising Sun,Drama,6.6,R,1h 45min,Maggie Greenwald,2016
Mary J. Blige's My Life,"Music & Musical, Documentary",6.6,R,1h 22min,Vanessa Roth,2021
Jesus Shows You the Way to the Highway,"Mystery & Thriller, Comedy, Fantasy, Action & Adventure, Science-Fiction, Made in Europe",5.6,N/A,1h 23min,Miguel Llansó,2019
Queen Marie of Romania,"Drama, Made in Europe",7.2,N/A,1h 50min,Alexis Cahill,2019
He's Way More Famous Than You,Comedy,3.7,N/A,1h 38min,Michael Urie,2013
Andy Murray: Resurfacing,"Documentary, Sport",7.8,N/A,1h 48min,N/A,2019
Getting to Know You,Comedy,6.1,N/A,1h 43min,Joan Carr-Wiggin,2020
Dead Sound,"Action & Adventure, Mystery & Thriller",4.1,N/A,1h 22min,Tony Glazer,2018
Life Itself,"Drama, Romance",6.9,R,1h 58min,Dan Fogelman,2018
Mistaken,,4.7,N/A,1h 24min,N/A,2017
Iddari Lokam Okate,"Romance, Drama",5.4,PG,2h 6min,Krishnareddy Gangadhasuu,2019
Delicious,"Drama, History, Comedy",7.0,N/A,1h 52min,Éric Besnard,2021
Just Friends,"Drama, Comedy, Romance, Made in Europe",7.2,N/A,1h 20min,Annemarie van de Mond,2018
The Nightmare Gallery,"Horror, Mystery & Thriller, Drama",3.4,N/A,1h 34min,Gene Blalock,2019
Gutboy: A Badtime Story,"Fantasy, Animation, Comedy",5.7,N/A,1h 11min,Nick Grant,2017
The Phoenix,Drama,N/A,R,1h 33min,Nicolas Moneuse,2020
Guava Island,"Mystery & Thriller, Comedy, Drama, Music & Musical",6.6,R,55min,Hiro Murai,2019
Close Encounters of the Fifth Kind,Documentary,6.1,PG,2h 0min,Michael Mazzola,2020
Union Bound,"Drama, Action & Adventure, History",4.4,PG,1h 44min,Harvey Lowry,2019
Realm of the Damned: Tenebris Deos,"Fantasy, Animation",N/A,N/A,56min,Tom Paton,2017
The Ringmaster,"Horror, Mystery & Thriller, Made in Europe",4.7,N/A,1h 40min,Søren Juul Petersen,2018
Planet Dune,Horror,N/A,N/A,1h 26min,Tammy Klein,2021
Red Woods,"Horror, Action & Adventure, Mystery & Thriller",3.5,N/A,1h 35min,Nicholas Danko,2021
Last Words,"Science-Fiction, Drama",4.8,PG,2h 0min,Jonathan Nossiter,2020
Jayeshbhai Jordaar,"Drama, Comedy",6.0,PG-13,2h 4min,Divyang Thakkar,2022
Qodrat,"Horror, Action & Adventure, Drama",6.8,N/A,1h 42min,Charles Gozali,2022
Ms. White Light,"Drama, Comedy",6.3,N/A,1h 36min,Paul Shoulberg,2019
Blood Born,Horror,4.4,N/A,1h 32min,Reed Shusterman,2021
Falcon Rising,"Action & Adventure, Crime, Mystery & Thriller",5.7,R,1h 43min,Ernie Barbarash,2014
Amar Akbar Anthony,"Drama, Comedy, Crime, Mystery & Thriller, Action & Adventure",4.1,N/A,2h 33min,Sreenu Vaitla,2018
Countrycide,"Horror, Mystery & Thriller",2.7,N/A,1h 9min,Brett Kelly,2017
The History of Time Travel,"Drama, Science-Fiction, Documentary, History",6.9,N/A,1h 12min,Ricky Kennedy,2014
The Electrical Life of Louis Wain,"Drama, History, Comedy",6.8,PG-13,1h 51min,Will Sharpe,2021
Dare to Be Wild,"Drama, Documentary, Romance, Made in Europe",6.4,PG,1h 40min,Vivienne De Courcy,2015
Rex,"Drama, Mystery & Thriller, History, War & Military, Action & Adventure",7.8,PG-13,1h 56min,Gabriela Cowperthwaite,2017
The Bridgewater Triangle,"Horror, Crime, History, Documentary",5.3,N/A,1h 31min,Aaron Cadieux,2013
To Kill The Dragon,"Horror, Mystery & Thriller, Fantasy",4.5,N/A,1h 23min,Jimena Monteoliva,2019
Becoming,"Mystery & Thriller, Horror, Drama, Science-Fiction",4.8,N/A,1h 38min,Omar Naim,2020
The Fabulous Allan Carr,Documentary,8.6,N/A,1h 30min,Jeffrey Schwarz,2017
Life in a Walk,"Kids & Family, Action & Adventure, Documentary, Made in Europe",6.7,N/A,1h 16min,N/A,2015
Moms at War,Comedy,6.5,N/A,1h 31min,Omoni Oboli,2018
Sleepwalker,"Mystery & Thriller, Made in Europe",5.2,N/A,1h 28min,Elliott Lester,2017
Old-Growth Murder,"Documentary, Crime",7.6,N/A,2h 8min,Tom Olsen Jr.,2022
Annabelle Hooper and the Ghosts of Nantucket,"Mystery & Thriller, Kids & Family",5.7,G,1h 32min,Paul Serafini,2016
I Can Only Imagine,"Drama, Kids & Family, Music & Musical",7.3,PG,1h 50min,Andrew Erwin,2018
Candy Corn,"Horror, Mystery & Thriller",4.0,N/A,1h 25min,Josh Hasty,2019
Rodeo and Juliet,"Kids & Family, Romance, Drama",4.7,N/A,1h 28min,Thadd Turner,2015
Dybbuk,"Horror, Mystery & Thriller, Drama",5.0,N/A,1h 58min,Jay K,2021
Doe,Mystery & Thriller,5.6,N/A,1h 38min,N/A,2018
Terrordactyl,"Action & Adventure, Comedy, Science-Fiction, Horror, Mystery & Thriller",4.2,N/A,1h 38min,Don Bitters III,2016
Pungo: A Witch's Tale,Fantasy,4.3,N/A,1h 42min,Philip J. Cook,2021
Macbeth,Drama,N/A,PG-13,2h 1min,Kit Monkman,2018
The Present,Drama,N/A,PG-13,24min,Farah Nabulsi,2020
Deal With the Devil,Horror,2.7,N/A,1h 20min,Benjamin Thomas,2018
Phobic,"Mystery & Thriller, Horror",3.2,N/A,1h 22min,Bryce Clark,2020
Melrose,"Comedy, Crime, Drama, Romance",5.1,N/A,1h 45min,Søren James,2020
The Arbitration,"Drama, Comedy",5.3,N/A,1h 40min,Niyi Akinmolayan,2016
Being Natural,"Drama, Comedy, Horror",6.2,N/A,1h 36min,Tadashi Nagayama,2018
The Assent,"Mystery & Thriller, Horror",4.2,N/A,1h 33min,Pearry Reginald Teo,2020
General Commander,"Action & Adventure, Drama, Mystery & Thriller, Made in Europe",3.2,R,1h 25min,Ross W. Clarkson,2019
Dog Years,"Romance, Comedy",5.5,N/A,1h 37min,Fabio Mollo,2021
Ass Backwards,Comedy,4.3,N/A,1h 30min,Chris Nelson,2013
Ram Setu,"Drama, Action & Adventure, History",5.2,N/A,2h 29min,Abhishek Sharma,2022
Never Heard,"Drama, Kids & Family",5.5,PG-13,1h 29min,Josh Webber,2018
Relaxer,"Comedy, Fantasy, Horror",6.0,N/A,1h 31min,Joel Potrykus,2019
Shivaay,"Drama, Mystery & Thriller, Action & Adventure, Crime",6.1,PG-13,2h 49min,Ajay Devgn,2016
Sita,"Action & Adventure, Romance",4.8,N/A,2h 41min,Teja,2019
The Deep Ones,"Science-Fiction, Horror",4.1,N/A,1h 23min,Chad Ferrin,2021
Anna Karenina. Vronsky's Story,Drama,6.3,PG-13,2h 18min,Karen Shakhnazarov,2017
Space Pirate Captain Harlock,"Animation, Science-Fiction",6.4,PG-13,1h 55min,Shinji Aramaki,2013
Psychopaths,"Horror, Mystery & Thriller",4.1,N/A,1h 25min,Mickey Keating,2017
Solace,"Mystery & Thriller, Crime, Music & Musical, Drama, Made in Europe",6.4,R,1h 41min,Afonso Poyart,2015
Aaraattu,"Drama, Comedy, Action & Adventure",3.9,N/A,2h 48min,B. Unnikrishnan,2022
Habitual,Horror,3.5,N/A,1h 35min,N/A,2020
Mario,"Drama, Romance, Sport, Made in Europe",7.4,N/A,1h 59min,Marcel Gisler,2018
Inside the Circle,"Comedy, Drama, Romance",5.0,N/A,1h 33min,Javier Colón Ríos,2021
Almost in Love,"Comedy, Drama, Romance",5.6,N/A,1h 23min,Sam Neave,2013
Respect,"Drama, Music & Musical",6.6,PG-13,2h 25min,Liesl Tommy,2021
Dark Sea,"Mystery & Thriller, Horror",5.6,N/A,1h 45min,Rodrigo Aragão,2013
Hippi,"Romance, Action & Adventure, Comedy",4.7,N/A,2h 23min,Obeli N Krishna,2019
Seberg,"Mystery & Thriller, Drama",5.9,R,1h 43min,Benedict Andrews,2019
Secret Life of the Long Haul Flight,Documentary,6.7,N/A,1h 7min,Ian A. Hunt,2017
Blackbird,Drama,6.6,R,1h 37min,Roger Michell,2019
Breaking News in Yuba County,"Crime, Comedy, Drama, Mystery & Thriller",5.8,R,1h 36min,Tate Taylor,2021
Untitled Horror Movie,"Horror, Comedy",4.8,N/A,1h 27min,Nick Simon,2021
My Dog Stupid,Comedy,6.2,PG-13,1h 46min,Yvan Attal,2019
Lucy and Desi,"Documentary, Comedy, Drama, History",7.7,PG,1h 43min,Amy Poehler,2022
A Cowgirl's Story,"Kids & Family, Drama",5.6,PG,1h 38min,Timothy Armstrong,2017
We Are the Giant,Documentary,6.6,N/A,1h 30min,Greg Barker,2014
Penance Lane,Horror,4.3,N/A,1h 24min,Péter Engert,2020
911 Nightmare,Mystery & Thriller,5.1,N/A,1h 26min,Craig Moss,2016
2 pigeons,"Comedy, Mystery & Thriller, Horror",5.5,N/A,1h 20min,Dominic Bridges,2017
Stop at Nothing: The Lance Armstrong Story,"Documentary, Sport, Made in Europe",7.5,PG-13,1h 40min,Alex Holmes,2014
Songbirds,"Documentary, Music & Musical",6.6,N/A,1h 1min,Dagan W. Beckett,2022
Hot Air,"Drama, Comedy",5.4,N/A,1h 39min,Frank Coraci,2018
Egypt's Lost Queens,"History, Documentary",7.1,PG-13,1h 0min,Ian A. Hunt,2014
The March Sisters at Christmas,"Comedy, Kids & Family, Romance",5.4,N/A,1h 30min,John Stimpson,2014
Eadweard,Drama,6.3,N/A,1h 44min,Kyle Rideout,2015
Rustum,"Drama, Action & Adventure",5.0,N/A,2h 8min,K Ravi Varma,2019
Paterson,"Drama, Romance, Comedy, Made in Europe",7.3,R,1h 58min,Jim Jarmusch,2016
By Light of Desert Night,"Mystery & Thriller, Drama",4.3,N/A,1h 34min,David Stuart-Snell,2020
Children of the Light,"Drama, Documentary, History, Made in Europe",8.3,N/A,1h 31min,N/A,2014
Hatchet III,"Mystery & Thriller, Comedy, Action & Adventure, Horror",5.7,R,1h 21min,B. J. McDonnell,2013
In-Lawfully Yours,"Comedy, Romance",5.9,N/A,1h 25min,Robert Kirbyson,2016
Impossible Monsters,Mystery & Thriller,4.4,N/A,1h 24min,Nathan Catucci,2019
Thappad,Drama,7.0,N/A,2h 24min,Anubhav Sinha,2020
Chavela,"Documentary, Music & Musical, History, Made in Europe",7.7,N/A,1h 33min,Catherine Gund,2017
Can We Take a Joke?,Documentary,7.3,N/A,1h 14min,Ted Balaker,2016
Pull,"Mystery & Thriller, Horror",2.9,N/A,1h 47min,James Ryan Gary,2019
